"Player Name","City, State","Position","Composite Rating","Star Rating","University","Conference","Class","Latitude","Longitude"
"Isaiah Taylor","Fort Lauderdale, FL","S",0.8317,"3","Arizona","Pac 12",2021,26.1223084,-80.1433786
"JT Hand","Mission Viejo, CA","IOL",0.8282,"3","Arizona","Pac 12",2021,33.5965685,-117.659405
"Logan Kraut","Santa Rosa, CA","ATH",0.8281,"3","Arizona","Pac 12",2021,38.4404925,-122.7141049
"Anthony Simpson","Pawling, NY","ATH",0.8206,"3","Arizona","Pac 12",2021,41.5620381,-73.6026271
"Luke Eckardt","Richmond, IL","OT",0.8139,"3","Arizona","Pac 12",2021,42.4758522,-88.3059251
"Evan Branch-Haynes","San Francisco, CA","DL",0.8118,"3","Arizona","Pac 12",2021,37.7790262,-122.419906
"Jakelyn Morgan","Tyler, TX","CB",0.8051,"3","Arizona","Pac 12",2021,32.3512601,-95.3010624
"Isaiah Johnson","Playa Del Rey, CA","CB",0.9381,"4","Arizona State","Pac 12",2021,33.9541453,-118.4388067
"Tommi Hill","Orlando, FL","ATH",0.9141,"4","Arizona State","Pac 12",2021,28.5421109,-81.3790304
"Ezra Dotson-Oyetade","Garland, TX","IOL",0.9055,"4","Arizona State","Pac 12",2021,32.912624,-96.6388833
"Junior Alexander","Burien, WA","WR",0.9015,"4","Arizona State","Pac 12",2021,47.469918,-122.3485274
"Jaydon Williams","Dallas, TX","LB",0.8863,"3","Arizona State","Pac 12",2021,32.7762719,-96.7968559
"Robert Regan","Orange, CA","CB",0.8742,"3","Arizona State","Pac 12",2021,33.7500378,-117.8704931
"Finn Collins","Mission Hills, CA","QB",0.8635,"3","Arizona State","Pac 12",2021,34.687584,-120.439017543046
"Eric Gentry","Philadelphia, PA","Edge",0.8619,"3","Arizona State","Pac 12",2021,39.9527237,-75.1635262
"Austin Barry","Riverside, CA","OT",0.8614,"3","Arizona State","Pac 12",2021,33.9459413,-117.410244424392
"Isaia Glass","Queen Creek, AZ","OT",0.8606,"3","Arizona State","Pac 12",2021,33.2483858,-111.6341585
"Gharin Stansbury","Franklin, LA","Edge",0.8573,"3","Arizona State","Pac 12",2021,34.440962,-87.8339064
"Armon Bethea","Brooklyn, NY","IOL",0.8451,"3","Arizona State","Pac 12",2021,40.6526006,-73.9497211
"Edward Czaplicki","Charlotte, NC","K",0.8028,"3","Arizona State","Pac 12",2021,35.2272086,-80.8430827
"J.Michael Sturdivant","Flower Mound, TX","WR",0.9369,"4","California","Pac 12",2021,33.0283854,-97.0867203
"Jermaine Terry","Richmond, CA","TE",0.9196,"4","California","Pac 12",2021,37.9357576,-122.347748
"Mavin Anderson","Mission Viejo, CA","WR",0.9031,"4","California","Pac 12",2021,33.5965685,-117.659405
"Kai Millner","Gilbert, AZ","QB",0.9023,"4","California","Pac 12",2021,33.3527632,-111.7890373
"Akili Calhoun","Brentwood, CA","Edge",0.89,"3","California","Pac 12",2021,37.9317766,-121.696026
"Derek Wilkins","Rancho Santa Margarita, CA","DL",0.8884,"3","California","Pac 12",2021,33.6408845,-117.6029341
"Kaleb Elarms-Orr","Hayward, CA","Edge",0.8854,"3","California","Pac 12",2021,37.6688205,-122.080796
"Kaleb Higgins","Folsom, CA","CB",0.8714,"3","California","Pac 12",2021,38.6779591,-121.1760583
"Bastian Swinney","Minneapolis, MN","IOL",0.8706,"3","California","Pac 12",2021,44.9772995,-93.2654692
"Hunter Barth","Queen Creek, AZ","S",0.8626,"3","California","Pac 12",2021,33.2483858,-111.6341585
"Femi M. Oladejo","Elk Grove, CA","LB",0.8607,"3","California","Pac 12",2021,38.4087993,-121.3716178
"Myles Williams","Mission Hills, CA","Edge",0.854,"3","California","Pac 12",2021,34.687584,-120.439017543046
"Patrick Hisatake","Portland, OR","LB",0.8519,"3","California","Pac 12",2021,45.5202471,-122.6741949
"Keleki Latu","Carmichael, CA","TE",0.8497,"3","California","Pac 12",2021,38.62709845,-121.322242227554
"Ryan Lange","Pittsburg, CA","OT",0.8472,"3","California","Pac 12",2021,38.0181745,-121.8901232
"Ieremia Moore","Bellflower, CA","DL",0.8464,"3","California","Pac 12",2021,33.8825705,-118.1167679
"Lu-Magia Hearns","Concord, CA","CB",0.8402,"3","California","Pac 12",2021,37.9768525,-122.0335624
"Dylan Jemtegaard","Yelm, WA","IOL",0.8357,"3","California","Pac 12",2021,46.9413877,-122.60639
"Fatuvalu Iosefa","Mililani, HI","S",0.8356,"3","California","Pac 12",2021,21.4508308,-158.0095783
"Darius Long","San Mateo, CA","DL",NA,NA,"California","Pac 12",2021,37.496904,-122.3330573
"Tiaoalii Savea","Las Vegas, NV","DL",0.916,"4","UCLA","Pac 12",2021,36.1672559,-115.148516
"Quintin Somerville","Scottsdale, AZ","DL",0.9147,"4","UCLA","Pac 12",2021,33.4942189,-111.9260184
"Devin Kirkwood","Gardena, CA","ATH",0.9057,"4","UCLA","Pac 12",2021,33.8963593,-118.3053037
"Thomas Cole","San Luis Obispo, CA","OT",0.8863,"3","UCLA","Pac 12",2021,NA,NA
"Josh Moore","Atlanta, GA","S",0.8843,"3","UCLA","Pac 12",2021,33.7489924,-84.3902644
"Christian Burkhalter","Spanish Fort, AL","Edge",0.8842,"3","UCLA","Pac 12",2021,30.6745365,-87.9348663532276
"Deshun Murrell","Centreville, AL","RB",0.8801,"3","UCLA","Pac 12",2021,32.9445682,-87.1386067
"Keontez Lewis","East Saint Louis, IL","WR",0.8788,"3","UCLA","Pac 12",2021,38.6244952,-90.1509429
"Noah Pulealii","Salinas, CA","IOL",0.8768,"3","UCLA","Pac 12",2021,36.6744117,-121.6550372
"Isaiah Newcombe","QUEEN CREEK, AZ","ATH",0.8727,"3","UCLA","Pac 12",2021,33.2483858,-111.6341585
"Ezavier Staples","Long Beach, CA","WR",0.8681,"3","UCLA","Pac 12",2021,33.7690164,-118.191604
"Kajiya Hollawayne","San Jacinto, CA","QB",0.8676,"3","UCLA","Pac 12",2021,33.7839664,-116.9589086
"DJ Justice","Mission Hills, CA","WR",0.8667,"3","UCLA","Pac 12",2021,34.687584,-120.439017543046
"Garrett DiGiorgio","Phelan, CA","OT",0.8647,"3","UCLA","Pac 12",2021,34.426298,-117.5725026
"A.J. Campbell","Akron, OH","Edge",0.8564,"3","UCLA","Pac 12",2021,41.083064,-81.518485
"Benjamin Roy","Henderson, NV","IOL",0.8464,"3","UCLA","Pac 12",2021,36.0301134,-114.9826194
"Hayden Nelson","Brookfield, WI","Edge",0.8444,"3","UCLA","Pac 12",2021,43.0605671,-88.1064787
"Tyler Kiehne","Los Lunas, NM","DL",0.8431,"3","UCLA","Pac 12",2021,34.8142093,-106.7613067
"Erik Olsen","Littleton, CO","TE",0.885,"3","Colorado","Pac 12",2021,39.613321,-105.016649
"Tyas Martin","Jacksonville, AR","DL",0.8654,"3","Colorado","Pac 12",2021,34.8662005,-92.1101458
"Chase Penry","Englewood, CO","WR",0.8592,"3","Colorado","Pac 12",2021,39.6482059,-104.9879641
"Drew Carter","Portland, OR","QB",0.8544,"3","Colorado","Pac 12",2021,45.5202471,-122.6741949
"Trevor Woods","Katy, TX","S",0.8538,"3","Colorado","Pac 12",2021,29.7857853,-95.8243956
"Trustin Oliver","Council Bluffs, IA","S",0.8506,"3","Colorado","Pac 12",2021,41.2621283,-95.8613912
"Zephaniah Maea","Henderson, NV","LB",0.8464,"3","Colorado","Pac 12",2021,36.0301134,-114.9826194
"Ty Robinson","Aurora, CO","ATH",0.8456,"3","Colorado","Pac 12",2021,41.7571701,-88.3147539
"Kaylin Moore","Westlake Village, CA","ATH",0.841,"3","Colorado","Pac 12",2021,34.1460234,-118.8061794
"Edgar Amaya","Russellville, AL","IOL",0.841,"3","Colorado","Pac 12",2021,34.5068228,-87.7290264
"Jackson Anderson","Mineola, TX","IOL",0.839,"3","Colorado","Pac 12",2021,32.6633387,-95.4880308
"Zion Magalei","Chandler, AZ","LB",0.8389,"3","Colorado","Pac 12",2021,33.3061605,-111.84125
"Allan Baugh","Fort Lauderdale, FL","DL",0.8344,"3","Colorado","Pac 12",2021,26.1223084,-80.1433786
"Tyrin Taylor","Cornelius, NC","S",0.8335,"3","Colorado","Pac 12",2021,35.481705,-80.8590006
"Nikko Reed","Hayward, CA","ATH",0.8194,"3","Colorado","Pac 12",2021,37.6688205,-122.080796
"Ryan Williams","Pearland, TX","DL",0.8173,"3","Colorado","Pac 12",2021,29.5639758,-95.2864299
"Austin Smith","Elmaton, TX","TE",0.8143,"3","Colorado","Pac 12",2021,28.8863723,-96.1399633
"Cole Becker","Rocklin, CA","K",0.8089,"3","Colorado","Pac 12",2021,38.7907339,-121.2357828
"Ashton Logan","Orange, CA","P",0.7965,"3","Colorado","Pac 12",2021,33.7500378,-117.8704931
"Kingsley Suamataia","Orem, UT","OT",0.9824,"4","Oregon","Pac 12",2021,40.2971825,-111.694943
"Ty Thompson","Gilbert, AZ","QB",0.9809,"4","Oregon","Pac 12",2021,33.3527632,-111.7890373
"Troy Franklin","Menlo Park, CA","WR",0.9808,"4","Oregon","Pac 12",2021,37.4519671,-122.1779927
"Dont'e Thornton","Baltimore, MD","WR",0.9719,"4","Oregon","Pac 12",2021,39.2908816,-76.610759
"Bram Walden","Scottsdale, AZ","OT",0.9624,"4","Oregon","Pac 12",2021,33.4942189,-111.9260184
"Keith Brown","Lebanon, OR","LB",0.9479,"4","Oregon","Pac 12",2021,44.5365467,-122.9068762
"Avante Dickerson","Omaha, NE","CB",0.9442,"4","Oregon","Pac 12",2021,41.2587459,-95.9383758
"Jaylin Davies","Santa Ana, CA","CB",0.935,"4","Oregon","Pac 12",2021,33.7494951,-117.8732213
"Seven McGee","Rochester, NY","RB",0.935,"4","Oregon","Pac 12",2021,43.157285,-77.615214
"Moliki Matavao","Henderson, NV","TE",0.9324,"4","Oregon","Pac 12",2021,36.0301134,-114.9826194
"Isaiah Brevard","Southaven, MS","WR",0.9263,"4","Oregon","Pac 12",2021,34.9873822,-90.0034862
"Byron Cardwell","San Diego, CA","RB",0.9226,"4","Oregon","Pac 12",2021,32.7174202,-117.1627728
"Jackson Powers-Johnson","Draper, UT","IOL",0.9216,"4","Oregon","Pac 12",2021,40.5246711,-111.8638226
"Terrance Ferguson","Littleton, CO","TE",0.9136,"4","Oregon","Pac 12",2021,39.613321,-105.016649
"Daymon David","Reisterstown, MD","S",0.9133,"4","Oregon","Pac 12",2021,39.4586723,-76.8185375894737
"Jonah Miller","Tucson, AZ","IOL",0.904,"4","Oregon","Pac 12",2021,32.2228765,-110.9748477
"Jonathan Flowe","Upland, CA","LB",0.9,"4","Oregon","Pac 12",2021,34.09751,-117.6483876
"Keanu Williams","Clovis, CA","DL",0.8958,"4","Oregon","Pac 12",2021,36.8252277,-119.7029194
"Jeffrey Bassa","Salt Lake City, UT","S",0.8937,"4","Oregon","Pac 12",2021,40.7596198,-111.8867975
"Terrell Tilmon","Arlington, TX","Edge",0.8776,"3","Oregon","Pac 12",2021,32.701939,-97.105623790337
"Jabril McNeill","Raleigh, NC","LB",0.8715,"3","Oregon","Pac 12",2021,35.7803977,-78.6390989
"Darren Barkins","Chula Vista, CA","CB",0.8681,"3","Oregon","Pac 12",2021,32.6400541,-117.0841955
"Brandon Buckner","Chandler, AZ","LB",0.8614,"3","Oregon","Pac 12",2021,33.3061605,-111.84125
"Damir Collins","Portland, OR","RB",0.8843,"3","Oregon State","Pac 12",2021,45.5202471,-122.6741949
"Easton Mascarenas","Mission Viejo, CA","LB",0.881,"3","Oregon State","Pac 12",2021,33.5965685,-117.659405
"Sam Vidlak","Grants Pass, OR","QB",0.8639,"3","Oregon State","Pac 12",2021,42.4393707,-123.3272489
"Jason White","Orange, CA","OT",0.8626,"3","Oregon State","Pac 12",2021,33.7500378,-117.8704931
"Jimmy Valsin","Arlington, TX","WR",0.8573,"3","Oregon State","Pac 12",2021,32.701939,-97.105623790337
"J.T. Byrne","Carmel, CA","TE",0.8424,"3","Oregon State","Pac 12",2021,-34.7875446,-55.9804691
"Omarion Fa’amoe","Salt Lake City, UT","Edge",0.8356,"3","Oregon State","Pac 12",2021,40.7596198,-111.8867975
"Orion Maile-Kaufusi","Salt Lake City, UT","ATH",0.8356,"3","Oregon State","Pac 12",2021,40.7596198,-111.8867975
"Arnez Madison","Los Angeles, CA","CB",0.8301,"3","Oregon State","Pac 12",2021,34.0536909,-118.242766
"Henry Buckles","Hood River, OR","IOL",0.8248,"3","Oregon State","Pac 12",2021,45.7087902,-121.5123728
"Gabe Milbourn","Sonora, CA","TE",NA,NA,"Oregon State","Pac 12",2021,37.9840911,-120.3821381
